Date,Holiday,Uptime,Peak_Period,Dispense
28-Nov-15,0,1,0,68221
29-Nov-15,1,1,1,86481
30-Nov-15,0,1,1,177444
1-Dec-15,0,1,1,180660
2-Dec-15,0,1,1,132343
3-Dec-15,0,1,1,261367
4-Dec-15,0,1,1,193644
5-Dec-15,0,1,1,90497
6-Dec-15,1,1,1,84727
7-Dec-15,0,1,1,304194
8-Dec-15,0,1,1,195224
9-Dec-15,0,0.57,1,70759
10-Dec-15,0,0,0,64
11-Dec-15,0,0.02,0,808
12-Dec-15,0,1,0,68610
13-Dec-15,1,1,0,27285
14-Dec-15,0,1,0,62149
15-Dec-15,0,1,0,128617
16-Dec-15,0,1,0,140059
17-Dec-15,0,1,0,58740
18-Dec-15,0,1,0,117888
19-Dec-15,0,1,0,110788
20-Dec-15,1,1,0,132453
21-Dec-15,0,1,0,88952
22-Dec-15,0,1,0,150544
23-Dec-15,0,1,0,74765
24-Dec-15,0,1,0,168785
25-Dec-15,0,1,0,90841
26-Dec-15,0,1,0,207902
27-Dec-15,1,1,0,127326
28-Dec-15,0,0.85,0,119630
29-Dec-15,0,0.41,1,11945
30-Dec-15,0,0.96,1,82709
31-Dec-15,0,1,1,110249
1-Jan-16,0,1,1,90025
2-Jan-16,0,1,1,115995
3-Jan-16,1,1,1,115938
4-Jan-16,0,1,1,178964
5-Jan-16,0,1,1,131699
6-Jan-16,0,1,1,193600
7-Jan-16,0,1,1,111989
8-Jan-16,0,1,1,174357
9-Jan-16,0,1,1,157209
10-Jan-16,1,1,0,74967
11-Jan-16,0,1,0,114743
12-Jan-16,0,1,0,163580
13-Jan-16,0,1,0,128959
14-Jan-16,0,1,0,121365
15-Jan-16,0,1,0,99871
16-Jan-16,0,1,0,112167
17-Jan-16,1,1,0,125285
18-Jan-16,0,1,0,19759
19-Jan-16,0,1,0,31897
20-Jan-16,0,1,0,93973
21-Jan-16,0,1,0,77975
22-Jan-16,0,1,0,149399
23-Jan-16,0,0.44,0,30
24-Jan-16,1,0,0,654
25-Jan-16,0,0.3,0,25400
26-Jan-16,0,1,0,48848
27-Jan-16,0,1,0,103887
28-Jan-16,0,1,0,118984
29-Jan-16,0,1,1,126727
30-Jan-16,0,1,1,176013
31-Jan-16,1,1,1,132950
1-Feb-16,0,1,1,102463
2-Feb-16,0,1,1,237755
3-Feb-16,0,1,1,116813
4-Feb-16,0,0.83,1,123951
5-Feb-16,0,1,1,152621
6-Feb-16,0,1,1,169000
7-Feb-16,1,1,1,248471
8-Feb-16,0,1,1,111806
9-Feb-16,0,1,1,63312
10-Feb-16,0,1,0,162287
11-Feb-16,0,1,0,134221
12-Feb-16,0,1,0,155297
13-Feb-16,0,1,0,147591
14-Feb-16,1,1,0,45039
15-Feb-16,0,1,0,127872
16-Feb-16,0,1,0,43245
17-Feb-16,0,1,0,147527
18-Feb-16,0,1,0,62424
19-Feb-16,0,1,0,101121
20-Feb-16,0,1,0,75235
21-Feb-16,1,1,0,179783
22-Feb-16,0,1,0,162345
23-Feb-16,0,1,0,106928
24-Feb-16,0,1,0,146492
25-Feb-16,0,1,0,103473
26-Feb-16,0,1,0,174287
27-Feb-16,0,1,0,202193
28-Feb-16,1,1,0,69971
29-Feb-16,0,1,1,69935
1-Mar-16,0,1,1,90329
2-Mar-16,0,1,1,166887
3-Mar-16,0,1,1,133805
4-Mar-16,0,1,1,100954
5-Mar-16,0,1,1,135060
6-Mar-16,1,1,1,209997
7-Mar-16,0,1,1,166163
8-Mar-16,0,1,1,27248
9-Mar-16,0,0,1,712
10-Mar-16,0,0,0,793
11-Mar-16,0,0,0,518
12-Mar-16,0,0,0,987
13-Mar-16,1,0,0,99
14-Mar-16,0,0,0,526
15-Mar-16,0,0,0,497
16-Mar-16,0,0.93,0,68208
17-Mar-16,0,1,0,98070
18-Mar-16,0,1,0,166813
19-Mar-16,0,0.49,0,22348
20-Mar-16,1,0.4,0,82209
21-Mar-16,0,0.5,0,115966
22-Mar-16,0,0.31,0,59543
23-Mar-16,0,0.47,0,55026
24-Mar-16,0,0,0,503
25-Mar-16,0,0.49,0,155212
26-Mar-16,0,0.53,0,137931
27-Mar-16,1,0,0,273
28-Mar-16,0,0,0,683
29-Mar-16,0,0,1,298
30-Mar-16,0,0.29,1,659
31-Mar-16,0,1,1,71901
1-Apr-16,0,1,1,277786
2-Apr-16,0,0.96,1,37279
3-Apr-16,1,1,1,107089
4-Apr-16,0,1,1,36687
5-Apr-16,0,0.79,1,11757
6-Apr-16,0,0.54,1,86325
7-Apr-16,0,0.74,1,96398
8-Apr-16,0,0.2,1,225
9-Apr-16,0,0,1,343
10-Apr-16,1,0,0,109
11-Apr-16,0,0,0,809
12-Apr-16,0,0.35,0,834
13-Apr-16,0,0,0,846
14-Apr-16,0,0,0,780
15-Apr-16,0,0,0,119
16-Apr-16,0,0.95,0,46187
17-Apr-16,1,0.92,0,466326
18-Apr-16,0,0,0,391
19-Apr-16,0,0.47,0,145914
20-Apr-16,0,1,0,310519
21-Apr-16,0,0.87,0,256085
22-Apr-16,0,1,0,164683
23-Apr-16,0,1,0,171246
24-Apr-16,1,1,0,246518
25-Apr-16,0,1,0,169767
26-Apr-16,0,0.67,0,51173
27-Apr-16,0,1,0,101251
28-Apr-16,0,0.87,0,98200
29-Apr-16,0,1,1,61363
30-Apr-16,0,1,1,14632
1-May-16,1,0.48,1,248
2-May-16,0,0.3,1,49392
3-May-16,0,1,1,217493
4-May-16,0,1,1,93741
5-May-16,0,1,1,89711
6-May-16,0,1,1,121337
7-May-16,0,1,1,176349
8-May-16,1,1,1,131192
9-May-16,0,1,1,108527
10-May-16,0,1,0,94620
11-May-16,0,1,0,94397
12-May-16,0,1,0,87343
13-May-16,0,1,0,68478
14-May-16,0,1,0,161360
15-May-16,1,1,0,90694
16-May-16,0,1,0,95959
17-May-16,0,1,0,67561
18-May-16,0,1,0,9753
19-May-16,0,0,0,216
20-May-16,0,0,0,360
21-May-16,0,0,0,43
22-May-16,1,0,0,97
23-May-16,0,0,0,131
24-May-16,0,0.97,0,12595
25-May-16,0,1,0,59265
26-May-16,0,1,0,66394
27-May-16,0,1,0,95399
28-May-16,0,1,0,117298
29-May-16,1,1,1,108506
30-May-16,0,1,1,117461
31-May-16,0,1,1,112910
1-Jun-16,0,1,1,135624
2-Jun-16,0,1,1,142333
3-Jun-16,0,1,1,88952
4-Jun-16,0,0.82,1,52502
5-Jun-16,1,1,1,105167
6-Jun-16,0,1,1,239263
7-Jun-16,0,1,1,193230
8-Jun-16,0,1,1,123668
9-Jun-16,0,0.8,1,24944
10-Jun-16,0,0.58,0,16685
11-Jun-16,0,1,0,144603
12-Jun-16,1,1,0,158572
13-Jun-16,0,1,0,198452
14-Jun-16,0,1,0,306907
15-Jun-16,0,0.96,0,90622
16-Jun-16,0,1,0,92770
17-Jun-16,0,1,0,95777
18-Jun-16,0,1,0,166545
19-Jun-16,1,1,0,257526
20-Jun-16,0,0.92,0,181695
21-Jun-16,0,0.76,0,157109
22-Jun-16,0,1,0,71861
23-Jun-16,0,0.91,0,51985
24-Jun-16,0,0.87,0,42761
25-Jun-16,0,0.99,0,298321
26-Jun-16,1,0.94,0,149832
27-Jun-16,0,0.98,0,101152
28-Jun-16,0,0.91,0,92826
29-Jun-16,0,1,1,159139
30-Jun-16,0,0.96,1,129427
1-Jul-16,0,1,1,117116
2-Jul-16,0,1,1,138408
3-Jul-16,1,1,1,389108
4-Jul-16,0,0.92,1,255055
5-Jul-16,0,1,1,207892
6-Jul-16,0,0.67,1,123247
7-Jul-16,0,1,1,177134
8-Jul-16,0,0.98,1,149808
9-Jul-16,0,0.93,1,299337
10-Jul-16,1,0.81,0,173722
11-Jul-16,0,0.32,0,178379
12-Jul-16,0,0.55,0,116810
13-Jul-16,0,0.35,0,91818
14-Jul-16,0,1,0,188759
15-Jul-16,0,1,0,204914
16-Jul-16,0,0.97,0,219273
17-Jul-16,1,1,0,335178
18-Jul-16,0,1,0,235735
19-Jul-16,0,0.96,0,148401
20-Jul-16,0,1,0,127230
21-Jul-16,0,1,0,149290
22-Jul-16,0,1,0,171243
23-Jul-16,0,1,0,162019
24-Jul-16,1,1,0,395519
25-Jul-16,0,0.9,0,165121
26-Jul-16,0,0.83,0,140670
27-Jul-16,0,0.77,0,107347
28-Jul-16,0,1,0,161311
29-Jul-16,0,0.97,1,132930
30-Jul-16,0,1,1,284857
31-Jul-16,1,1,1,283267
1-Aug-16,0,1,1,137523
2-Aug-16,0,1,1,125347
3-Aug-16,0,1,1,100771
4-Aug-16,0,1,1,213300
5-Aug-16,0,1,1,103688
6-Aug-16,0,1,1,221776
7-Aug-16,1,1,1,161310
8-Aug-16,0,0.65,1,230498
9-Aug-16,0,0.82,1,201097
10-Aug-16,0,0,0,144
11-Aug-16,0,0.12,0,23
12-Aug-16,0,0.1,0,86
13-Aug-16,0,1,0,255891
14-Aug-16,1,1,0,237499
15-Aug-16,0,1,0,194335
16-Aug-16,0,0.57,0,113812
17-Aug-16,0,0.26,0,44410
18-Aug-16,0,1,0,327249
19-Aug-16,0,1,0,157109
20-Aug-16,0,1,0,154222
21-Aug-16,1,1,0,115069
22-Aug-16,0,0.96,0,157924
23-Aug-16,0,0.83,0,85358
24-Aug-16,0,0.98,0,137713
25-Aug-16,0,1,0,138419
26-Aug-16,0,1,0,128032
27-Aug-16,0,1,0,61806
28-Aug-16,1,1,0,51157
29-Aug-16,0,1,1,50394
30-Aug-16,0,1,1,77903
31-Aug-16,0,0.98,1,147806
1-Jun-15,0,1,1,330575
2-Jun-15,0,1,1,310661
3-Jun-15,0,1,1,178543
4-Jun-15,0,1,1,183661
5-Jun-15,0,1,1,284830
6-Jun-15,0,1,1,121302
7-Jun-15,1,1,1,114482
8-Jun-15,0,1,1,150971
9-Jun-15,0,1,1,213000
10-Jun-15,0,1,0,189056
11-Jun-15,0,1,0,194386
12-Jun-15,0,1,0,139025
13-Jun-15,0,1,0,180726
14-Jun-15,1,1,0,91232
15-Jun-15,0,1,0,192650
16-Jun-15,0,1,0,122295
17-Jun-15,0,1,0,4628
18-Jun-15,0,1,0,118991
19-Jun-15,0,1,0,177911
20-Jun-15,0,1,0,89790
21-Jun-15,1,1,0,74096
22-Jun-15,0,1,0,81543
23-Jun-15,0,0.91,0,103120
24-Jun-15,0,1,0,114004
25-Jun-15,0,1,0,96866
26-Jun-15,0,1,0,221597
27-Jun-15,0,0.96,0,178152
28-Jun-15,1,1,0,160877
29-Jun-15,0,1,1,133113
30-Jun-15,0,1,1,181451
1-Jul-15,0,0.95,1,199236
2-Jul-15,0,1,1,168699
3-Jul-15,0,1,1,184656
4-Jul-15,0,1,1,210428
5-Jul-15,1,1,1,103004
6-Jul-15,0,1,1,149640
7-Jul-15,0,1,1,96080
8-Jul-15,0,1,1,4769
9-Jul-15,0,1,1,145920
10-Jul-15,0,1,0,170900
11-Jul-15,0,1,0,186729
12-Jul-15,1,0,0,783
13-Jul-15,0,1,0,31565
14-Jul-15,0,1,0,192370
15-Jul-15,0,1,0,158568
16-Jul-15,0,1,0,188984
17-Jul-15,0,1,0,205136
18-Jul-15,0,1,0,110374
19-Jul-15,1,1,0,110760
20-Jul-15,0,1,0,159766
21-Jul-15,0,0.92,0,158747
22-Jul-15,0,0.97,0,159088
23-Jul-15,0,1,0,209994
24-Jul-15,0,1,0,236150
25-Jul-15,0,1,0,176831
26-Jul-15,1,1,0,43090
27-Jul-15,0,1,0,257271
28-Jul-15,0,1,0,141048
29-Jul-15,0,1,1,86558
30-Jul-15,0,1,1,80150
31-Jul-15,0,0.97,1,111340
1-Aug-15,0,1,1,154337
2-Aug-15,1,1,1,87164
3-Aug-15,0,1,1,207106
4-Aug-15,0,0.76,1,69705
5-Aug-15,0,0.76,1,85651
6-Aug-15,0,1,1,282617
7-Aug-15,0,1,1,225440
8-Aug-15,0,0.92,1,265950
9-Aug-15,1,1,1,178002
10-Aug-15,0,0.41,0,43170
11-Aug-15,0,0,0,884
12-Aug-15,0,0,0,606
13-Aug-15,0,0.25,0,79032
14-Aug-15,0,1,0,532717
15-Aug-15,0,1,0,394
16-Aug-15,1,1,0,39073
17-Aug-15,0,1,0,135357
18-Aug-15,0,0.91,0,138028
19-Aug-15,0,1,0,142239
20-Aug-15,0,1,0,165497
21-Aug-15,0,1,0,140070
22-Aug-15,0,1,0,146427
23-Aug-15,1,1,0,166774
24-Aug-15,0,1,0,111951
25-Aug-15,0,0.74,0,86659
26-Aug-15,0,0.96,0,192576
27-Aug-15,0,1,0,118305
28-Aug-15,0,1,0,218782
29-Aug-15,0,1,1,91581
30-Aug-15,1,0,1,435
31-Aug-15,0,1,1,162615
1-Sep-15,0,1,1,193504
2-Sep-15,0,1,1,159353
3-Sep-15,0,1,1,139375
4-Sep-15,0,1,1,158836
5-Sep-15,0,1,1,138382
6-Sep-15,1,1,1,86281
7-Sep-15,0,1,1,192070
8-Sep-15,0,1,1,10092
9-Sep-15,0,1,1,267294
10-Sep-15,0,1,0,152299
11-Sep-15,0,1,0,21895
12-Sep-15,0,1,0,150566
13-Sep-15,1,1,0,91743
14-Sep-15,0,0.92,0,58721
15-Sep-15,0,0,0,209
16-Sep-15,0,1,0,5770
17-Sep-15,0,1,0,139845
18-Sep-15,0,1,0,1496
19-Sep-15,0,1,0,1018
20-Sep-15,1,1,0,209839
21-Sep-15,0,1,0,330580
22-Sep-15,0,1,0,150888
23-Sep-15,0,1,0,170485
24-Sep-15,0,1,0,151379
25-Sep-15,0,1,0,67121
26-Sep-15,0,1,0,51958
27-Sep-15,1,1,0,138151
28-Sep-15,0,1,0,263324
29-Sep-15,0,1,1,83035
30-Sep-15,0,1,1,125198
1-Oct-15,0,0.97,1,330462
2-Oct-15,0,1,1,186605
3-Oct-15,0,0.97,1,62625
4-Oct-15,1,1,1,162205
5-Oct-15,0,1,1,226892
6-Oct-15,0,1,1,161274
7-Oct-15,0,1,1,333861
8-Oct-15,0,1,1,189634
9-Oct-15,0,1,1,73472
10-Oct-15,0,0.98,0,120735
11-Oct-15,1,1,0,189246
12-Oct-15,0,1,0,323082
13-Oct-15,0,1,0,86659
14-Oct-15,0,1,0,206380
15-Oct-15,0,1,0,282669
16-Oct-15,0,1,0,269357
17-Oct-15,0,1,0,239898
18-Oct-15,1,1,0,226416
19-Oct-15,0,1,0,125929
20-Oct-15,0,1,0,303397
21-Oct-15,0,1,0,217000
22-Oct-15,0,1,0,181612
23-Oct-15,0,1,0,44331
24-Oct-15,0,1,0,176923
25-Oct-15,1,1,0,40577
26-Oct-15,0,0.98,0,256451
27-Oct-15,0,1,0,263031
28-Oct-15,0,1,0,271239
29-Oct-15,0,1,1,236246
30-Oct-15,0,1,1,180340
31-Oct-15,0,1,1,23376
1-Nov-15,1,1,1,14344
2-Nov-15,0,1,1,180012
3-Nov-15,0,1,1,205595
4-Nov-15,0,1,1,236847
5-Nov-15,0,0.94,1,131425
6-Nov-15,0,1,1,207868
7-Nov-15,0,1,1,320805
8-Nov-15,1,1,1,205725
9-Nov-15,0,1,1,93253
10-Nov-15,0,1,0,305333
11-Nov-15,0,1,0,117439
12-Nov-15,0,1,0,76619
13-Nov-15,0,1,0,104126
14-Nov-15,0,1,0,598
15-Nov-15,1,1,0,77125
16-Nov-15,0,1,0,129365
17-Nov-15,0,1,0,259912
18-Nov-15,0,1,0,36419
19-Nov-15,0,1,0,17538
20-Nov-15,0,1,0,278483
21-Nov-15,0,1,0,232796
22-Nov-15,1,1,0,144147
23-Nov-15,0,1,0,119200
24-Nov-15,0,1,0,83118
25-Nov-15,0,1,0,151624
26-Nov-15,0,1,0,8161
27-Nov-15,0,1,0,184245
28-Nov-15,0,1,0,85845
29-Nov-15,1,1,1,207908
30-Nov-15,0,1,1,145516
1-Dec-15,0,1,1,286486
2-Dec-15,0,1,1,254121
3-Dec-15,0,1,1,156937
4-Dec-15,0,1,1,161878
5-Dec-15,0,1,1,189574
6-Dec-15,1,1,1,110090
7-Dec-15,0,1,1,364456
8-Dec-15,0,1,1,169365
9-Dec-15,0,1,1,246959
10-Dec-15,0,1,0,283846
11-Dec-15,0,1,0,133528
12-Dec-15,0,0,0,959
13-Dec-15,1,0,0,362
14-Dec-15,0,1,0,254139
15-Dec-15,0,1,0,220397
16-Dec-15,0,1,0,119471
17-Dec-15,0,1,0,204302
18-Dec-15,0,1,0,162980
19-Dec-15,0,1,0,169888
20-Dec-15,1,1,0,88241
21-Dec-15,0,1,0,187044
22-Dec-15,0,0.76,0,39958
23-Dec-15,0,1,0,211032
24-Dec-15,0,0.97,0,141736
25-Dec-15,0,1,0,60557
26-Dec-15,0,1,0,145025
27-Dec-15,1,1,0,163411
28-Dec-15,0,1,0,162072
29-Dec-15,0,1,1,193440
30-Dec-15,0,1,1,224265
31-Dec-15,0,1,1,243934
1-Jan-16,0,1,1,174762
2-Jan-16,0,1,1,209314
3-Jan-16,1,1,1,149304
4-Jan-16,0,1,1,241661
5-Jan-16,0,1,1,328506
6-Jan-16,0,1,1,213750
7-Jan-16,0,0.81,1,142799
8-Jan-16,0,1,1,152037
9-Jan-16,0,1,1,352404
10-Jan-16,1,1,0,134897
11-Jan-16,0,0.06,0,9527
12-Jan-16,0,1,0,232739
13-Jan-16,0,1,0,240045
14-Jan-16,0,0.72,0,119109
15-Jan-16,0,0.16,0,769
16-Jan-16,0,1,0,156737
17-Jan-16,1,1,0,127622
18-Jan-16,0,1,0,171849
19-Jan-16,0,1,0,173325
20-Jan-16,0,1,0,235925
21-Jan-16,0,1,0,283947
22-Jan-16,0,1,0,168181
23-Jan-16,0,1,0,193095
24-Jan-16,1,1,0,135412
25-Jan-16,0,0.68,0,76653
26-Jan-16,0,0.86,0,127799
27-Jan-16,0,1,0,247379
28-Jan-16,0,1,0,326345
29-Jan-16,0,0.69,1,210158
30-Jan-16,0,0.37,1,191344
31-Jan-16,1,1,1,204037
1-Feb-16,0,1,1,357600
2-Feb-16,0,0,1,425
3-Feb-16,0,1,1,197058
4-Feb-16,0,1,1,143570
5-Feb-16,0,1,1,140852
6-Feb-16,0,1,1,202461
7-Feb-16,1,1,1,230537
8-Feb-16,0,0.75,1,141500
9-Feb-16,0,0.26,1,121297
10-Feb-16,0,1,0,114323
11-Feb-16,0,1,0,199283
12-Feb-16,0,1,0,173181
13-Feb-16,0,1,0,92715
14-Feb-16,1,0.74,0,77156
15-Feb-16,0,1,0,260623
16-Feb-16,0,0.74,0,171122
17-Feb-16,0,1,0,422048
18-Feb-16,0,1,0,64810
19-Feb-16,0,1,0,164934
20-Feb-16,0,1,0,159417
21-Feb-16,1,1,0,110261
22-Feb-16,0,1,0,262628
23-Feb-16,0,1,0,167502
24-Feb-16,0,1,0,237500
25-Feb-16,0,1,0,179163
26-Feb-16,0,0.55,0,52529
27-Feb-16,0,1,0,138617
28-Feb-16,1,1,0,113884
29-Feb-16,0,1,1,315954
1-Mar-16,0,1,1,214039
2-Mar-16,0,1,1,244875
3-Mar-16,0,1,1,149171
4-Mar-16,0,1,1,194322
5-Mar-16,0,1,1,252964
6-Mar-16,1,0.97,1,166684
7-Mar-16,0,1,1,165852
8-Mar-16,0,1,1,196301
9-Mar-16,0,1,1,260443
10-Mar-16,0,1,0,206881
11-Mar-16,0,1,0,182091
12-Mar-16,0,1,0,127513
13-Mar-16,1,1,0,186050
14-Mar-16,0,1,0,253846
15-Mar-16,0,1,0,67093
16-Mar-16,0,1,0,215251
17-Mar-16,0,1,0,287894
18-Mar-16,0,0.96,0,202112
19-Mar-16,0,1,0,214408
20-Mar-16,1,1,0,296234
21-Mar-16,0,0.74,0,295734
22-Mar-16,0,0,0,982
23-Mar-16,0,0.13,0,14625
24-Mar-16,0,1,0,12564
25-Mar-16,0,1,0,8810
26-Mar-16,0,0.97,0,116006
27-Mar-16,1,0.97,0,42644
28-Mar-16,0,1,0,132043
29-Mar-16,0,1,1,155966
30-Mar-16,0,1,1,144657
31-Mar-16,0,1,1,164905
1-Apr-16,0,0.85,1,144397
2-Apr-16,0,0.19,1,327
3-Apr-16,1,0.44,1,105854
4-Apr-16,0,0.57,1,61176
5-Apr-16,0,0.97,1,200404
6-Apr-16,0,1,1,236401
7-Apr-16,0,1,1,178325
8-Apr-16,0,1,1,230847
9-Apr-16,0,1,1,112366
10-Apr-16,1,0,0,349
11-Apr-16,0,1,0,411353
12-Apr-16,0,0.72,0,84532
13-Apr-16,0,0.44,0,153405
14-Apr-16,0,1,0,115048
15-Apr-16,0,0.84,0,160056
16-Apr-16,0,1,0,7013
17-Apr-16,1,1,0,115494
18-Apr-16,0,1,0,53822
19-Apr-16,0,1,0,53441
20-Apr-16,0,1,0,217567
21-Apr-16,0,1,0,154423
22-Apr-16,0,1,0,94387
23-Apr-16,0,1,0,180681
24-Apr-16,1,0,0,152
25-Apr-16,0,0.71,0,125597
26-Apr-16,0,1,0,167495
27-Apr-16,0,1,0,54214
28-Apr-16,0,1,0,120946
29-Apr-16,0,1,1,98458
30-Apr-16,0,0.97,1,190493
1-May-16,1,1,1,146106
2-May-16,0,1,1,250780
3-May-16,0,1,1,229953
4-May-16,0,1,1,143501
5-May-16,0,1,1,213293
6-May-16,0,1,1,183796
7-May-16,0,0.74,1,139973
8-May-16,1,0.82,1,112230
9-May-16,0,0.54,1,197323
10-May-16,0,0.81,0,187417
11-May-16,0,1,0,235781
12-May-16,0,1,0,111312
13-May-16,0,1,0,112536
14-May-16,0,1,0,171777
15-May-16,1,1,0,190483
